 ,院校代码,院校名称,专业组,专业名称,招生地区,选考科目,招生年份,录取批次,最低分,最低分位次,招生人数,备注,,,,,,,,,,,,,
不分文理,A003,清华大学,0Q,文科试验班类(通用基础类),山东,不限,2021,常规1志愿,685,50,1,,,,,,,,,,,,,,
不分文理,A003,清华大学,22,临床医学类(含医学、化生类等方向),山东,物理和化学,2021,常规1志愿,683,70,5,- ,,,,,,,,,,,,,
不分文理,A001,北京大学,56,理科试验班类(理科基础类),山东,物理,2021,常规1志愿,681,102,44,- ,,,,,,,,,,,,,
不分文理,H001,北京大学医学部,04,口腔医学(八年制),山东,物理和化学,2021,常规1志愿,679,126,2,- ,,,,,,,,,,,,,
不分文理,A003,清华大学,0N,理科试验班类(物理基础类),山东,物理,2021,常规1志愿,678,154,68,- ,,,,,,,,,,,,,
不分文理,E430,中国科学院大学,1U,人工智能,山东,物理,2021,常规1志愿,677,173,1,- ,,,,,,,,,,,,,
不分文理,H001,北京大学医学部,02,临床医学(八年制),山东,物理和化学,2021,常规1志愿,677,172,10,- ,,,,,,,,,,,,,
不分文理,A001,北京大学,16,文科试验班类(通用类),山东,不限,2021,常规1志愿,677,162,22,- ,,,,,,,,,,,,,
不分文理,H001,北京大学医学部,01,基础医学(八年制),山东,物理和化学,2021,常规1志愿,676,179,1,- ,,,,,,,,,,,,,
不分文理,H001,北京大学医学部,03,临床医学(五年制),山东,物理和化学,2021,常规1志愿,676,187,2,- ,,,,,,,,,,,,,
不分文理,H001,北京大学医学部,05,口腔医学(五年制),山东,物理和化学,2021,常规1志愿,676,176,1,- ,,,,,,,,,,,,,
不分文理,A246,复旦大学,19,数学类(拔尖学生培养基地),山东,物理,2021,常规1志愿,675,214,3,- ,,,,,,,,,,,,,
不分文理,A246,复旦大学,39,经济管理试验班,山东,物理或化学,2021,常规1志愿,675,213,2,- ,,,,,,,,,,,,,
不分文理,A248,上海交通大学,51,电子信息类(ieee试点班，含双学士学位项目),山东,物理,2021,常规1志愿,675,205,8,- ,,,,,,,,,,,,,
不分文理,E430,中国科学院大学,16,数学与应用数学,山东,物理,2021,常规1志愿,674,221,2,- ,,,,,,,,,,,,,
不分文理,H001,北京大学医学部,06,预防医学(七年制),山东,物理和化学,2021,常规1志愿,674,239,3,- ,,,,,,,,,,,,,
不分文理,A335,浙江大学,4T,工科试验班(竺可桢学院图灵班),山东,物理,2021,常规1志愿,674,224,3,- ,,,,,,,,,,,,,
不分文理,A248,上海交通大学,52,人工智能(卓越人才试点班),山东,物理,2021,常规1志愿,674,222,8,- ,,,,,,,,,,,,,
不分文理,E430,中国科学院大学,1C,天文学,山东,物理,2021,常规1志愿,673,269,1,- ,,,,,,,,,,,,,
不分文理,A246,复旦大学,3D,工科试验班(新工科本研贯通),山东,物理,2021,常规1志愿,673,259,3,- ,,,,,,,,,,,,,
不分文理,E430,中国科学院大学,1Q,计算机科学与技术,山东,物理,2021,常规1志愿,672,290,3,- ,,,,,,,,,,,,,
